date,code,open,high,low,close,volume,amount
2004-07-21,002024,29.88,33.0,29.7,32.7,203193.0,634144768.0
2004-07-22,002024,32.55,35.35,32.55,33.6,45900.0,155404704.0
2004-07-23,002024,33.5,35.94,33.5,35.85,32412.0,113217336.0
2004-07-26,002024,35.79,35.79,34.35,35.0,23317.0,81602728.0
2004-07-27,002024,34.99,35.2,33.52,34.68,14591.0,50195356.0
2004-07-28,002024,35.45,36.4,34.11,36.3,19470.0,69178152.0
2004-07-29,002024,36.0,36.79,35.61,36.07,12388.0,44608348.0
2004-07-30,002024,35.85,36.48,35.51,35.94,7194.0,25918194.0
2004-08-02,002024,36.0,38.7,35.9,37.8,17973.0,67722832.0
2004-08-03,002024,37.9,39.11,37.69,38.0,15382.0,59221612.0
2004-08-04,002024,37.88,39.0,36.8,38.09,11241.0,42528656.0
2004-08-05,002024,37.8,39.4,37.66,38.5,7327.0,28323224.0
2004-08-06,002024,38.49,39.6,38.0,38.8,7769.0,30169930.0
2004-08-09,002024,39.28,39.28,37.0,37.2,16308.0,60981496.0
2004-08-10,002024,36.88,39.1,36.88,38.36,9982.0,38480008.0
2004-08-11,002024,37.05,38.3,36.88,37.55,6900.0,25922456.0
2004-08-12,002024,37.4,38.28,37.2,37.68,4361.0,16448238.0
2004-08-13,002024,37.5,37.97,36.5,36.7,10378.0,38213540.0
2004-08-16,002024,36.6,36.6,35.86,36.1,8436.0,30426494.0
2004-08-17,002024,36.01,36.85,36.0,36.57,2873.0,10427190.0
2004-08-18,002024,36.4,36.57,36.01,36.35,2269.0,8220190.0
2004-08-19,002024,36.48,36.48,35.21,36.0,3958.0,14281915.0
2004-08-20,002024,36.05,36.05,33.9,35.01,10796.0,37527664.0
2004-08-23,002024,34.68,35.33,34.68,35.1,1435.0,5027959.5
2004-08-24,002024,34.8,35.4,34.8,35.1,1501.0,5269536.5
2004-08-25,002024,34.95,35.48,34.71,35.26,1146.0,4038166.25
2004-08-26,002024,35.0,35.55,34.75,35.2,2662.0,9326916.0
2004-08-27,002024,36.0,36.0,35.2,35.37,1653.0,5833665.5
2004-08-30,002024,35.35,35.36,34.36,35.2,2303.0,8058582.0
2004-08-31,002024,35.28,35.99,34.7,35.33,1323.0,4657911.5
2004-09-01,002024,34.8,35.0,34.5,35.0,2610.0,9076639.0
2004-09-02,002024,34.68,34.98,34.51,34.96,1073.0,3726005.5
2004-09-03,002024,34.57,35.0,34.57,34.7,872.0,3027501.75
2004-09-06,002024,34.5,35.75,34.5,34.68,891.0,3099441.5
2004-09-07,002024,34.68,34.98,34.61,34.69,514.0,1785278.75
2004-09-08,002024,34.72,35.1,34.54,35.09,2084.0,7249215.0
2004-09-09,002024,35.09,35.09,34.61,34.96,695.0,2416799.75
2004-09-10,002024,34.6,35.27,34.57,35.05,636.0,2215215.0
2004-09-14,002024,34.5,35.4,34.5,35.0,1537.0,5363124.0
2004-09-15,002024,34.8,37.3,34.8,36.37,4832.0,17567468.0
2004-09-16,002024,36.4,37.0,35.65,36.8,4168.0,15257136.0
2004-09-17,002024,36.95,40.48,36.61,40.48,11851.0,46296376.0
2004-09-20,002024,41.0,42.44,40.11,41.88,14558.0,60469300.0
2004-09-21,002024,41.64,41.87,39.8,41.0,13253.0,54184700.0
2004-09-22,002024,40.9,43.0,40.22,41.49,7543.0,31707534.0
2004-09-23,002024,40.95,41.88,40.0,41.54,5121.0,20879816.0
2004-09-24,002024,41.4,43.4,40.2,40.2,12040.0,51125868.0
2004-09-27,002024,40.9,42.8,39.51,39.6,8652.0,35255952.0
2004-09-28,002024,39.65,40.99,39.52,40.9,3371.0,13563723.0
2004-09-29,002024,41.11,41.4,40.73,41.0,3309.0,13584246.0
2004-09-30,002024,40.9,42.2,40.01,40.01,3223.0,13371419.0
2004-10-08,002024,42.0,44.01,41.7,44.01,13966.0,60952960.0
2004-10-11,002024,46.9,47.2,45.01,45.3,12600.0,58212660.0
2004-10-12,002024,44.99,45.65,44.31,44.73,7215.0,32557378.0
2004-10-13,002024,44.93,45.78,44.52,45.4,9584.0,43239064.0
2004-10-14,002024,45.43,45.43,41.0,42.25,12802.0,54047404.0
2004-10-15,002024,41.32,42.7,40.91,42.27,2513.0,10506090.0
2004-10-18,002024,41.5,42.9,41.5,42.88,2285.0,9685554.0
2004-10-19,002024,42.5,43.5,42.5,42.5,2783.0,11989618.0
2004-10-20,002024,42.75,44.58,42.7,44.0,8175.0,35899716.0
2004-10-21,002024,44.5,44.99,43.8,44.83,4954.0,22051038.0
2004-10-22,002024,44.51,48.77,44.51,47.63,9064.0,42390612.0
2004-10-25,002024,48.22,50.15,47.68,49.75,14010.0,69097872.0
2004-10-26,002024,49.72,50.17,48.5,50.0,4290.0,21118138.0
2004-10-27,002024,49.8,51.98,49.5,49.7,5615.0,28292978.0
2004-10-28,002024,49.1,50.3,48.03,48.67,4262.0,20870272.0
2004-10-29,002024,49.63,50.15,48.39,48.88,5806.0,28672434.0
2004-11-01,002024,48.63,48.88,46.8,47.2,3291.0,15595452.0
2004-11-02,002024,47.79,48.2,46.5,47.9,2322.0,11056012.0
2004-11-03,002024,48.01,49.3,47.81,49.28,4825.0,23469442.0
2004-11-04,002024,50.5,50.5,48.0,48.5,3150.0,15495330.0
2004-11-05,002024,48.48,48.5,46.05,46.49,5100.0,23915854.0
2004-11-08,002024,46.0,46.87,45.89,46.8,1317.0,6099033.0
2004-11-09,002024,47.0,47.48,46.66,46.9,1730.0,8123214.0
2004-11-10,002024,46.75,49.1,46.75,48.7,3263.0,15706256.0
